RT @peachybxcky: This is the cutest thing EVER. Mark went for a fist bump then got shot down so he kept it to himself only to see Chadwick…,negative
"RT @NewHopeSabs: #LoveUAndWeDntEvenKnowWhy because you remind me that all we have is love, and you were my first love. @SabrinaAnnLynn http…",positive
I love you red nose https://t.co/yddQLpzNAq,positive
RT @ihatezand: AND ANOTHER THING.... thank u for playing up to the “bi girls just love threesomes!!!” stereotype with the “we got with a gu…,positive
"RT @JepicHQ: Loads of Love ❤️ 
#Pikachu #kawaii #Pokemon #Pokeball #Jedward https://t.co/UF7H5DiY4C",positive
@Kash1Shmoney Oh okay just making sure haha 💋💋💋💕,positive
@Post_Malone50 @MakennaGott @FratelliPizzaAz We will look into it! Would love to blog some food there!,positive
"♪I want to love you, every day and every night♪
Is This Love de Bob Marley &amp; The Wailers 
#UnDiaComoHoy de 1981 mue… https://t.co/jAjZtasCkI",positive
Happy #internationalnursesday my work #family forever #nurses #NursesWeek  #heros #angels LOVE THESE GUYS x… https://t.co/5Qb08SbLKb,positive
"I always forget that no matter what Lena Dunham does, I love her writing. And then I remember... https://t.co/liCQXFJOAI",positive
"RT @yxggyeomie: PLEASE RT THIS,  I WANT IT TOO MUCH AND IT WOULD MAKE ME VERY HAPPY I RETURN THE RT. @MerchGiveawaysz 
#BLACKPINKISCOMING #…",positive
"RT @FaZeRug: SURPRISE!! After months of preparing, it’s FINALLY HERE!! My OFFICIAL RUG MERCH - https://t.co/HSIDfCL3xZ

T-shirt’s, hoodies,…",negative
I love the way you scream my name.,positive
RT @SpacePorns: In love https://t.co/LxPaOZYEww,positive
I love you!,positive
